city,item,course_type,why_not_filled,cuisine_family
ncr,moong_dal_chaat,salad,carries a chinese/continental flag,
ncr,moong_dal_kosambri_salad,salad,carries a chinese/continental flag,
ncr,moong_dal_sprouts,salad,carries a chinese/continental flag,
ncr,moongdal_sprout,salad,carries a chinese/continental flag,
ncr,moti_chur_ladoo,dessert,no evidence,
ncr,namkeen_chach,curd_side,no evidence,
ncr,nutri_masala,veg_dry,no evidence,
ncr,onion_laccha,salad,carries a chinese/continental flag,
ncr,onion_ring_masala,salad,carries a chinese/continental flag,
ncr,onion_tadka_raita,curd_side,no evidence,
ncr,pao_bhaji,veg_gravy,carries a chinese/continental flag,
ncr,papad_chaat,salad,carries a chinese/continental flag,
ncr,papri_chaat,salad,carries a chinese/continental flag,
ncr,pasta,salad,carries a chinese/continental flag,
ncr,pasyam_kheer,dessert,no evidence,
ncr,paysam_kheer,dessert,no evidence,
ncr,paysam_kheer_cold,dessert,no evidence,
ncr,paysum_kheer,dessert,no evidence,
ncr,peanut_corn_salad,salad,carries a chinese/continental flag,
ncr,peenut_chaat,salad,carries a chinese/continental flag,
ncr,petha,dessert,no evidence,
ncr,petha_khatta_meetha,dessert,no evidence,
ncr,petha_masala,dessert,no evidence,
ncr,phirni_cold,dessert,no evidence,
ncr,pineapple_cheese_corn_salad,salad,carries a chinese/continental flag,
ncr,pineapple_corn_cheese_salad,salad,carries a chinese/continental flag,
ncr,punjabi_sweet_lassi,welcome_drink,course has no agreed convention,
ncr,pysam_kheer,dessert,no evidence,
ncr,rawa_coconut_halwa,dessert,no evidence,
ncr,rawa_halwa,dessert,no evidence,
ncr,rawa_kesri_halwa,dessert,no evidence,
ncr,roasted_bellpepper_and_corn_salad,salad,carries a chinese/continental flag,
ncr,sabudana_sevaiyan_kheer,dessert,no evidence,
ncr,salad_station,salad,carries a chinese/continental flag,
ncr,sauce,veg_gravy,carries a chinese/continental flag,
ncr,schezwan_sauce,veg_gravy,carries a chinese/continental flag,
ncr,sevaiyan_kheer,dessert,no evidence,
ncr,seviyan_upma,veg_dry,no evidence,
ncr,sirka_onion_beetroot_salad,salad,carries a chinese/continental flag,
ncr,sirka_payaz,salad,carries a chinese/continental flag,
ncr,sirka_pyaz,salad,carries a chinese/continental flag,
ncr,sirka_pyaza,salad,carries a chinese/continental flag,
ncr,sitaphal_khata_meetha,veg_dry,no evidence,
ncr,soyawadi_jaipuri,veg_dry,no evidence,
ncr,spinach_corn,veg_gravy,carries a chinese/continental flag,
ncr,sponge_rasgulla,dessert,no evidence,
ncr,sprour_corn_mix_salad,salad,carries a chinese/continental flag,
ncr,sprourts_corn_mix_salad,salad,carries a chinese/continental flag,
ncr,sprout_corn_mix_salad,salad,carries a chinese/continental flag,
ncr,steam_corn_and_pepper_salad,salad,carries a chinese/continental flag,
ncr,steam_rice_onion_rice,rice,no evidence,
ncr,suji_kheer,dessert,no evidence,
ncr,sweet_corn_and_veggies_salad,salad,carries a chinese/continental flag,
ncr,tadka_dahi,curd_side,no evidence,
ncr,tadka_raita,curd_side,no evidence,
ncr,tawa_vegetables,veg_gravy,carries a chinese/continental flag,
ncr,tempered_chana_salad,salad,carries a chinese/continental flag,
ncr,tempered_raita,curd_side,no evidence,
ncr,tempered_salad,salad,carries a chinese/continental flag,
ncr,thandi_phirni,dessert,no evidence,
ncr,three_beans_peppers_salad,salad,carries a chinese/continental flag,
ncr,threebean_salad,salad,carries a chinese/continental flag,
ncr,threebeans_mix_salad,salad,carries a chinese/continental flag,
ncr,tinda_masala,veg_dry,no evidence,
ncr,tori_masala,veg_dry,no evidence,
ncr,tossed_macroni,veg_gravy,carries a chinese/continental flag,
ncr,upma,veg_dry,no evidence,
ncr,veg_avail,veg_dry,no evidence,
ncr,veg_crudittes,salad,carries a chinese/continental flag,
ncr,veg_curdites,curd_side,no evidence,
ncr,veg_taka_tak,veg_dry,no evidence,
ncr,veg_takatak,veg_dry,no evidence,
ncr,vegetable,veg_gravy,carries a chinese/continental flag,
ncr,vegetable_gravy_in_kung_pao_sauce,veg_gravy,carries a chinese/continental flag,
ncr,vegetable_kofta,veg_gravy,carries a chinese/continental flag,
ncr,vegetable_kofta_curry,veg_gravy,carries a chinese/continental flag,
ncr,vegetable_korma,veg_gravy,carries a chinese/continental flag,
ncr,vegetable_pasta,veg_gravy,carries a chinese/continental flag,
ncr,vermicelli_kheer,dessert,no evidence,
ncr,vermicilli_kheer,dessert,no evidence,
ncr,white_sauce_pasta,salad,carries a chinese/continental flag,
ncr,zeera_raita,curd_side,no evidence,
