city,item,course_type,column,why_not
bangalore,brown_rice_kanji,healthy_rice,flavoured_rice_region,no word its siblings agree about
bangalore,brown_rice_pulao,healthy_rice,flavoured_rice_region,no word its siblings agree about
bangalore,burani_chicken_biryani,nonveg_main,gravy_region,no word its siblings agree about
bangalore,burrito_bowl,starter,key_ingredient,no word its siblings agree about
bangalore,burwan_shimlamirch,veg_dry,key_ingredient,no word its siblings agree about
bangalore,butter_chicken,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,butter_chicken_curry,nonveg_main,gravy_region,no word its siblings agree about
bangalore,butter_chicken_curry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,butter_chicken_masala,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,butter_chicken_roast,nonveg_main,gravy_region,no word its siblings agree about
bangalore,butter_chicken_roast,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,cafreal_chicken_gravy,nonveg_main,gravy_region,no word its siblings agree about
bangalore,cafreal_chicken_gravy,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,cajun_spiced_vegetables,healthy_rice,flavoured_rice_region,no word its siblings agree about
bangalore,cajun_spiced_vegetables,healthy_rice,key_ingredient,no word its siblings agree about
bangalore,calicut_chicken_biryani,nonveg_main,gravy_region,no word its siblings agree about
bangalore,capsicum_ennegayi,veg_gravy,is_* flags,no attribute or word its siblings agree about
bangalore,capsicum_masala_rice,rice,flavoured_rice_region,no word its siblings agree about
bangalore,carrot_and_celery_detox_water,infused_water,is_* flags,no attribute or word its siblings agree about
bangalore,carrot_and_celery_detox_water,infused_water,sub_category,no word its siblings agree about
bangalore,carrot_and_ginger_juice,welcome_drink,drink_rule_group,no word its siblings agree about
bangalore,carrot_juice,welcome_drink,drink_rule_group,no word its siblings agree about
bangalore,carrot_mint_juice,welcome_drink,drink_rule_group,no word its siblings agree about
bangalore,carrot_uttappam_with_chutney,bread,sub_category,no word its siblings agree about
bangalore,celery_and_watermelon_infused_water,infused_water,is_* flags,no attribute or word its siblings agree about
bangalore,celery_and_watermelon_infused_water,infused_water,sub_category,no word its siblings agree about
bangalore,chana_paneer,veg_gravy,gravy_region,no word its siblings agree about
bangalore,chandra_kala,dessert,key_ingredient,no word its siblings agree about
bangalore,chettinad_chicken,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chettinad_chicken_curry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chettinad_chicken_fry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chettinad_chicken_kurma,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chettinad_chicken_masala,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chettinad_egg_curry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chettinad_kozhi_kuzhambu,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chettinad_style_egg_curry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chichinde_ki_sabzi,veg_dry,key_ingredient,no word its siblings agree about
bangalore,chicken_555,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_555,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_65,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_65,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_65_dry,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_65_dry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_adraki,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_adraki,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_ahuna_curry_orange,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_alfredo_pasta,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_and_leek_cream_stew,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_and_spinach_cream_sauce,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_angara,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_angara,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_arrabbiata,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_arrabbiata_pasta,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_barley_broth,nonveg_soup,is_* flags,no attribute or word its siblings agree about
bangalore,chicken_barley_broth,nonveg_soup,sub_category,no word its siblings agree about
bangalore,chicken_basil_pesto_pasta,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_basil_tomato_broth,nonveg_soup,is_* flags,no attribute or word its siblings agree about
bangalore,chicken_basil_tomato_broth,nonveg_soup,sub_category,no word its siblings agree about
bangalore,chicken_bean_soup,nonveg_soup,is_* flags,no attribute or word its siblings agree about
bangalore,chicken_bean_soup,nonveg_soup,sub_category,no word its siblings agree about
bangalore,chicken_bell_pepper_tomato_pasta,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_biryani,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_broccoli_alfredo,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_broth_soup,nonveg_soup,is_* flags,no attribute or word its siblings agree about
bangalore,chicken_broth_soup,nonveg_soup,sub_category,no word its siblings agree about
bangalore,chicken_cacciatore,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_cafreal,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_cafreal,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_changezi,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_chapli_kabab,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_chapli_kabab,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_cheese_burst_pasta,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_chilli,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_chowder,nonveg_soup,is_* flags,no attribute or word its siblings agree about
bangalore,chicken_chowder,nonveg_soup,sub_category,no word its siblings agree about
