city,item,course_type,flagged_color,current_color,in_city_list,confidence,richness_score,spice_level,texture
bangalore,stir_fried_soya,healthy_rice,red,red,yes,0.569,2,0,crisp
bangalore,stuffed_capsicum,starter,brown,brown,yes,0.569,2,1,crisp
bangalore,stuffed_parwal_do_pyaza,veg_dry,red,red,yes,0.569,2,1,dry
bangalore,subz_makhanwal,veg_gravy,red,red,yes,0.569,2,1,saucy
bangalore,sundekkai_kuzhambu,dal,red,red,yes,0.569,2,1,saucy
bangalore,sweet_corn_and_pepper_soup,soup,brown,brown,yes,0.569,1,0,saucy
bangalore,sweet_corn_chicken_soup,nonveg_soup,red,red,yes,0.569,1,0,saucy
bangalore,sweet_corn_veg_soup,soup,brown,brown,yes,0.569,1,0,saucy
bangalore,tariwala_kukkad_murgh,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,tariwala_murgh_masala,nonveg_main,red,red,yes,0.569,3,2,saucy
bangalore,thai_chicken_and_noodle_soup,nonveg_soup,red,red,yes,0.569,1,1,saucy
bangalore,thai_fried_rice,rice,brown,brown,yes,0.569,4,0,crisp
bangalore,thai_noodle_soup,soup,brown,brown,yes,0.569,1,0,saucy
bangalore,thai_veg_soup,soup,brown,brown,yes,0.569,1,0,saucy
bangalore,tikki_puri,starter,red,red,yes,0.569,4,1,crisp
bangalore,tofu_and_vegetable_stir_fry,healthy_rice,brown,brown,yes,0.569,2,0,crisp
bangalore,tom_yom_veg_soup,soup,brown,brown,yes,0.569,1,0,saucy
bangalore,vaniyambadi_chicken_biryani,nonveg_main,red,red,yes,0.569,5,1,grainy
bangalore,veg_ambur_biryani,rice,yellow,yellow,yes,0.569,4,0,grainy
bangalore,veg_and_oats_soup,soup,brown,brown,yes,0.569,1,0,saucy
bangalore,veg_donne_biryani,rice,yellow,yellow,yes,0.569,4,0,grainy
bangalore,veg_hyd_biryani,rice,yellow,yellow,yes,0.569,4,0,grainy
bangalore,veg_hyderabadi_biryani,rice,yellow,yellow,yes,0.569,4,0,grainy
bangalore,veg_mughlai_biryani,rice,yellow,yellow,yes,0.569,4,0,grainy
bangalore,veg_noodle_soup,soup,brown,brown,yes,0.569,1,0,saucy
bangalore,veg_patiala,veg_gravy,red,red,yes,0.569,2,1,saucy
bangalore,veg_tikki,starter,red,red,yes,0.569,2,1,crisp
bangalore,veg_tikki_puri,starter,red,red,yes,0.569,4,1,crisp
bangalore,vegetable_morney,healthy_rice,brown,brown,yes,0.569,2,0,saucy
bangalore,vendekai_khara_kuzhambu,sambar,red,red,yes,0.569,2,1,saucy
bangalore,watermelon_ginger_detox_water,infused_water,red,red,yes,0.569,1,0,fresh
bangalore,watermelon_kiwi_lime_infused_water,infused_water,red,red,yes,0.569,1,0,fresh
bangalore,yam_alsande_kootu,veg_dry,red,red,yes,0.569,2,1,dry
chennai,bread_biryani,rice,yellow,yellow,yes,0.569,4,0,grainy
chennai,soyabean_biryani,rice,yellow,yellow,yes,0.569,4,0,grainy
chennai,tri_color_idli,bread,brown,brown,yes,0.569,1,0,soft
ncr,adraki_gobi,veg_gravy,yellow,yellow,yes,0.569,2,1,saucy
ncr,ajjwaini_rice,rice,brown,brown,yes,0.569,2,0,grainy
ncr,ajwaini_arbi,veg_gravy,red,red,yes,0.569,2,1,saucy
ncr,ajwaini_arbi_masala,veg_dry,red,red,yes,0.569,2,2,saucy
ncr,aloo_dum_bhojpuri,veg_gravy,green,green,yes,0.569,4,1,saucy
ncr,aloo_kolahpuri,veg_gravy,green,green,yes,0.569,2,1,saucy
ncr,arbi_ajwaini,veg_gravy,red,red,yes,0.569,2,1,saucy
ncr,arbi_ajwani,veg_gravy,red,red,yes,0.569,2,1,saucy
ncr,arbi_aloo_masala,veg_gravy,red,red,yes,0.569,2,2,saucy
ncr,arbi_do_pyaza,veg_dry,red,red,yes,0.569,2,1,dry
ncr,atta_ladoo,dessert,brown,brown,yes,0.569,5,0,soft
ncr,awadhi_chicken_masala,nonveg_main,red,red,yes,0.569,3,2,saucy
ncr,bagare_baingan,veg_gravy,red,red,yes,0.569,2,1,saucy
ncr,baigian_bharta_matar,veg_gravy,red,red,yes,0.569,2,1,saucy
ncr,baingan_aloo,veg_gravy,red,red,yes,0.569,2,1,saucy
ncr,baingan_masala_chatpatta,veg_dry,red,red,yes,0.569,2,2,saucy
ncr,banarsi_dum_aloo,veg_gravy,red,red,yes,0.569,4,1,saucy
ncr,barfi,dessert,yellow,yellow,yes,0.569,5,0,soft
ncr,bhaji,veg_dry,green,green,yes,0.569,2,1,dry
ncr,bharwa_simla_mirch,veg_dry,red,red,yes,0.569,2,2,dry
ncr,bhindi,veg_gravy,green,green,yes,0.569,2,1,saucy
ncr,bhindi_pyaaz_masala,veg_dry,red,red,yes,0.569,2,2,saucy
ncr,bhuna_aloo_jeera,veg_dry,brown,brown,yes,0.569,2,2,dry
ncr,bhuna_chicken_masala_in_gujrati_style_chicken_rasawala,nonveg_main,red,red,yes,0.569,3,2,saucy
ncr,bikaneri_barfi,dessert,yellow,yellow,yes,0.569,5,0,soft
ncr,bikanri_barfi,dessert,yellow,yellow,yes,0.569,5,0,soft
ncr,black_chana,veg_gravy,red,red,yes,0.569,2,1,saucy
ncr,black_cholay,veg_gravy,red,red,yes,0.569,2,1,saucy
ncr,black_chum_chum,veg_gravy,red,red,yes,0.569,2,1,saucy
ncr,boiled_rajma,veg_gravy,red,red,yes,0.569,1,0,saucy
ncr,boondi_ladoo,dessert,brown,brown,yes,0.569,5,0,soft
ncr,bottlegourd_masala,veg_gravy,red,red,yes,0.569,2,2,saucy
ncr,brown_bread_veg_cole_slaw_sandwich,salad,white,white,yes,0.569,1,0,fresh
ncr,cabbage_matar_peas,veg_gravy,green,green,yes,0.569,2,1,saucy
ncr,capsicum_corn,veg_gravy,green,green,yes,0.569,2,1,saucy
ncr,caramelised_onion_potato,veg_gravy,brown,brown,yes,0.569,2,1,saucy
ncr,chana,veg_gravy,green,green,yes,0.569,2,1,saucy
ncr,chana_flaxseed_barfi,dessert,yellow,yellow,yes,0.569,5,0,soft
ncr,chatapate_jeera_aloo,veg_dry,brown,brown,yes,0.569,2,1,dry
ncr,chaulai_ke_ladoo,dessert,brown,brown,yes,0.569,5,0,soft
ncr,chicken_adraki_masala,nonveg_main,red,red,yes,0.569,3,2,saucy
ncr,chicken_afgani_masala,nonveg_main,red,red,yes,0.569,3,2,saucy
ncr,chicken_beliram,nonveg_main,red,red,yes,0.569,3,1,saucy
ncr,chicken_bhuna,nonveg_main,red,red,yes,0.569,3,2,saucy
ncr,chicken_butter_masala,nonveg_main,red,red,yes,0.569,5,1,saucy
ncr,chicken_chattinad,nonveg_main,red,red,yes,0.569,3,1,saucy
ncr,chicken_chettiand,nonveg_main,red,red,yes,0.569,3,1,saucy
